step,fx,fy,fz,gx,gy,gz,theta_tcn,theta_fuzzyakf,accel_weight,accel_norm,fuzzy_innovation,fuzzy_nis,min_covariance_eigenvalue,gyro_energy,gyro_vibration_feature,P_tcn_base,P_tcn,P_fuzzyakf_total,cross_error_total,S,NIS,innovation,K_raw,K_eff,Kmax,NIS_weight,quality_weight,correction_prev,correction,target_correction,theta_fused,theta_tcn_abs,fallback,fallback_reason_code,innovation_gate_flag,innovation_min_gate,slope_gate,nis_downweight_flag,nis_reject_flag,Kmax_cap_flag,rate_limit_flag,observer_valid,tcn_ready,regime_index,quality_score,quality_bin,p_help,v7_gate,label_main,label_turn,conf_main
1,0.304364519631129,0.000357110462621563,9.7484153846926,-0.00197145617050242,-0.0026170083974343,-0.00287907575354159,0,0.0312006536231621,0.525768453465964,9.75316566048427,2.61700839743438e-05,3.2248233196774e-07,9.99990961424447e-05,9.5122247895424e-07,0.00278658957524264,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.278700001444137,0.0312006536231621,0.88236688806096,0,1,1,0,0,0,0,0,0,1,66,0,1,0,0,0,0,0,1,0,1,0.40058254151728,1,0.793194343476534,1,1,0,1
2,0.472396391248165,-0.0445809564521833,9.69390964743588,-0.000205768133878279,0.00153041954052179,-0.00347965742034346,0,0.033340080397532,0.126782880018128,9.70551544560065,0.0174767781700488,0.0714711444805913,9.99946476801526e-05,1.62828836790063e-06,0.00364584008728385,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.318231284791731,0.033340080397532,0.88236688806096,0,1,1,0,0,0,0,0,0,1,98,0,1,0,0,0,0,0,1,0,1,0.485224331492806,1,0.465284537263612,0,1,0,1
3,0.750928278059721,0.000845114995644918,9.74172948640789,-9.69847969871556e-05,0.000329530501958372,-0.00153211573048838,0,0.0360042252952134,0.067811949418265,9.77062881187071,0.043588105312183,0.254163220608586,9.99847519759486e-05,1.67014270021447e-06,0.00369240002720919,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.50520877793952,0.0360042252952134,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.538560218401672,2,0.465284537263612,0,1,0,1
4,1.03902037640828,-0.0005302776612888,9.81372571662789,-0.000562410942108646,-0.000279724622549792,5.84716262485731e-05,0,0.0386378426795986,0.0438060295498528,9.86857517907167,0.0694796298281532,0.427440029711992,9.99687507257011e-05,1.60653410837076e-06,0.00362140361599828,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.581821393589789,0.0386378426795986,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.619617177164482,2,0.465284537263612,0,1,0,1
5,1.38577848657151,0.0472553745856043,9.81595102616841,0.000662886330432849,0.000441191099019071,0.000954711431722751,0,0.0422382890179712,0.0423484606379272,9.91340050801985,0.101606690422768,0.886053935929378,9.99462224593719e-05,1.60348449249175e-06,0.003617964804481,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.695306967904218,0.0422382890179712,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.733263260502836,2,0.465284537263612,0,1,0,1
6,1.59651057825361,0.0229235431621646,9.78557002026725,0.00234687910036798,0.00212941606599091,-0.00110414157228006,0,0.0463395011449221,0.0422971005990841,9.91497615412463,0.119464288900672,1.2249649821494,9.99167629430056e-05,2.08637941314123e-06,0.00412694423014219,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.836886678650494,0.0463395011449221,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.783178452932998,2,0.465284537263612,0,1,0,1
7,1.78618268868423,0.088453692238511,9.7943115555277,-3.62465077845309e-05,0.000743570520201609,0.000449707417041494,0,0.0506637767637391,0.0411985386880168,9.95624484932795,0.134038859130405,1.50506613688304,9.98799654862203e-05,2.01988282692325e-06,0.00406064519546526,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.23457617048559,0.0506637767637391,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.810504807952449,3,0.457122741536033,0,1,0,1
8,1.96909146462264,0.0506616888994458,9.79136559534383,0.000501509763895303,-0.00183089544264247,-0.000347191632764739,0,0.0551728079240621,0.0404010797391913,9.98752862446234,0.147810389801048,1.7977266146788,9.98354233601079e-05,2.10510029532874e-06,0.00414541821855952,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.46410741987395,0.0551728079240621,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.83296948516958,3,0.43026351048902,0,1,0,1
9,2.14727842082698,-0.0171110638675803,9.74553479837115,-0.00042463484875258,0.00266544139651015,0.00242099426100012,0,0.0600294896089992,0.0405997537969534,9.97930588324253,0.16166730617582,2.16285547346573,9.97827142482359e-05,2.65715057080233e-06,0.00465736245827766,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.73321352324122,0.0600294896089992,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.855655419477064,3,0.457122741536033,0,1,0,1
10,2.28386443598581,0.00660938940521568,9.77478404473692,0.00211790931862739,0.00104644378379702,-0.0011123650282746,0,0.0647913758999305,0.0391687505287623,10.038051781458,0.169487294405526,2.29773462643006,9.97214395011e-05,2.86519006379744e-06,0.00483624923295361,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.01909694893908,0.0647913758999305,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.863025254731623,3,0.417414521557765,0,1,0,1
