t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
0,0,0,-0.86,0,0,0,0,0,0,71.6142941694707,7.88707197010297e-05,-660,660,-1.32,1.32,0,0,0,0,4.5560211
0.01,0,0,-0.858055425916559,0,0.00859027712953831,9.72287046169253e-06,0,0.0086,0,149.034840978682,1.495123036932e-05,-660,660,-1.32,1.32,0,0,0,0,0.0097562
0.02,0,0,-0.852541988603984,0,0.0171432642015312,5.67357984688505e-05,0,0.0172,0,220.724424950778,0.000215464309256674,-660,660,-1.32,1.32,0,0,0,0,0.0087244
0.03,0,0,-0.843723870295537,0,0.0256245934935666,0.000175406506433416,0,0.0258,0,284.075605861843,0.000197583152576897,-660,660,-1.32,1.32,0,0,0,0,0.0091193
0.04,0,0,-0.83198545055881,0,0.034003140091722,0.000396859908278005,0,0.0344,0,339.348940528929,0.000236945570939895,-660,660,-1.32,1.32,0,0,0,0,0.008907
0.05,0,0,-0.817699100369427,0,0.0422515628345453,0.000748437165454725,0,0.043,0,387.072337262332,0.000252091094942841,-660,660,-1.32,1.32,0,0,0,0,0.0089179
0.06,0,0,-0.8012128581468,0,0.0503461226075204,0.00125387739247964,0,0.0516,0,427.49143461138,0.000257709503181047,-660,660,-1.32,1.32,0,0,0,0,0.0090623
0.07,0,0,-0.782863441513109,0,0.0582665040764782,0.00193349592352184,0,0.0602,0,460.730124793947,0.000256160621653123,-660,660,-1.32,1.32,0,0,0,0,0.009226
0.08,0,0,-0.762981859187845,0,0.0659957305392491,0.00280426946075086,0,0.0688,0,487.001291148365,0.000249256596610792,-660,660,-1.32,1.32,0,0,0,0,0.0089236
0.09,0,0,-0.741889308337368,0,0.073520086323493,0.00387991367650697,0,0.0774,0,506.692300640047,0.000238447370485062,-660,660,-1.32,1.32,0,0,0,0,0.0088327
0.1,0,0,-0.719889130868521,0,0.08082897845269,0.00517102154730995,0,0.086,0,520.349506162107,0.000224943584719028,-660,660,-1.32,1.32,0,0,0,0,0.0087996
0.11,0,0,-0.697259484086447,0,0.0879147214468387,0.00668527855316126,0,0.0946,0,528.621327660978,0.000209754708230037,-660,660,-1.32,1.32,0,0,0,0,0.0090969
0.12,0,0,-0.67424863516702,0,0.0947722619487665,0.00842773805123349,0,0.1032,0,532.199064485729,0.000193700104055949,-660,660,-1.32,1.32,0,0,0,0,0.0087823
0.13,0,0,-0.651072984065705,0,0.101398869937322,0.0104011300626777,0,0.1118,0,531.770825318992,0.000177420962607755,-660,660,-1.32,1.32,0,0,0,0,0.0089956
0.14,0,0,-0.627917210201863,0,0.107793820788523,0.0126061792114767,0,0.1204,0,527.990586332977,0.000161399020491615,-660,660,-1.32,1.32,0,0,0,0,0.0088845
0.15,0,0,-0.604935845559519,0,0.113958085935625,0.0150419140643754,0,0.129,0,521.459615074098,0.000145979660395312,-660,660,-1.32,1.32,0,0,0,0,0.00851
0.16,0,0,-0.582255704179185,0,0.119894043542155,0.0177059564578445,0,0.1376,0,512.716883532703,0.000131395952131186,-660,660,-1.32,1.32,0,0,0,0,0.0088576
0.17,0,0,-0.559978753658033,0,0.125605215679924,0.0205947843200759,0,0.1462,0,502.235732875764,0.000117791335433992,-660,660,-1.32,1.32,0,0,0,0,0.0085523
0.18,0,0,-0.538185140464138,0,0.131096034991104,0.0237039650088964,0,0.1548,0,490.424769021571,0.000105239826375225,-660,660,-1.32,1.32,0,0,0,0,0.0088764
0.19,0,0,-0.516936174023038,0,0.136371641397333,0.0270283586026673,0,0.1634,0,477.631493128836,9.3763337012831e-05,-660,660,-1.32,1.32,0,0,0,0,0.0089408
0.2,0,0,-0.49627714349289,0,0.141437707813135,0.0305622921868654,0,0.172,0,464.147547610104,8.33460838336464e-05,-660,660,-1.32,1.32,0,0,0,0,0.0093582
0.21,0,0,-0.476239892746075,0,0.146300292818129,0.0342997071818714,0,0.1806,0,450.214749731123,7.39462444627748e-05,-660,660,-1.32,1.32,0,0,0,0,0.0090744
