t_s,e_y,e_psi,e_v,e_omega,xy_error,X,Y,X_ref,Y_ref,F_cmd,omega_cmd,F_limit_lo,F_limit_hi,omega_limit_lo,omega_limit_hi,theta_true,theta_ref,theta_imu_raw,theta_sched,solve_time_ms
0,0,0,-0.88,0,0,0,0,0,0,72.7501682331786,8.09872351741348e-05,-660,660,-1.32,1.32,0,0,0,0,4.7101519
0.01,0,0,-0.878003065404452,0,0.00878993591956794,9.98467302465518e-06,0,0.00879992059259259,0,151.77639011573,1.52246353213314e-05,-660,660,-1.32,1.32,0,0,0,0,0.0107022
0.02,0,0,-0.8723632506135,0,0.0175416880916111,5.81530935740801e-05,0,0.0175998411851852,0,225.109198029153,0.000220358008045096,-660,660,-1.32,1.32,0,0,0,0,0.0088716
0.03,0,0,-0.86334300703176,0,0.026220139969852,0.000179621807925768,0,0.0263997617777778,0,289.959749872796,0.000202108628480246,-660,660,-1.32,1.32,0,0,0,0,0.0106905
0.04,0,0,-0.851333345588245,0,0.034793442319141,0.00040624005122934,0,0.0351996823703704,0,346.542938197963,0.000242431435546919,-660,660,-1.32,1.32,0,0,0,0,0.0094858
0.05,0,0,-0.836682410757667,0,0.0432336064959045,0.00076599646705851,0,0.043999602962963,0,395.380508388393,0.000257954033921592,-660,660,-1.32,1.32,0,0,0,0,0.0089171
0.06,0,0,-0.819813187558037,0,0.051515745503992,0.00128318886637832,0,0.0527989343703704,0,436.736576582305,0.000263699875441503,-660,660,-1.32,1.32,0,0,0,0,0.008977
0.07,0,0,-0.801037599671673,0,0.0596196604464565,0.00197860533132126,0,0.0615982657777778,0,470.744523639791,0.000262110702673013,-660,660,-1.32,1.32,0,0,0,0,0.0087972
0.08,0,0,-0.780694387543814,0,0.0675279813769228,0.00286961580826242,0,0.0703975971851852,0,497.624147246592,0.000255043821264067,-660,660,-1.32,1.32,0,0,0,0,0.0085881
0.09,0,0,-0.759112161417359,0,0.075226675102875,0.00397025348971757,0,0.0791969285925926,0,517.771773393266,0.000243982745169902,-660,660,-1.32,1.32,0,0,0,0,0.0093596
0.1,0,0,-0.736503855941262,0,0.0827049031937696,0.00529135680623042,0,0.08799626,0,531.712050656788,0.000230174179714382,-660,660,-1.32,1.32,0,0,0,0,0.0089456
0.11,0,0,-0.713350443920134,0,0.0899535849790389,0.00684078168762783,0,0.0967943666666667,0,540.151065896265,0.000214601004225656,-660,660,-1.32,1.32,0,0,0,0,0.0088403
0.12,0,0,-0.689808127532076,0,0.0969687881079115,0.00862368522542183,0,0.105592473333333,0,543.801289687864,0.000198162771633648,-660,660,-1.32,1.32,0,0,0,0,0.0086198
0.13,0,0,-0.666097673195202,0,0.103747727369274,0.0106428526307264,0,0.11439058,0,543.361089239828,0.000181507182995588,-660,660,-1.32,1.32,0,0,0,0,0.0086364
0.14,0,0,-0.642407653871283,0,0.110289664249218,0.0128990224174483,0,0.123188686666667,0,539.494324664585,0.000165118551288757,-660,660,-1.32,1.32,0,0,0,0,0.0091673
0.15,0,0,-0.618736409789321,0,0.116595592948173,0.0153912003851604,0,0.131986793333333,0,532.748219470493,0.000149360780975272,-660,660,-1.32,1.32,0,0,0,0,0.008656
