step,fx,fy,fz,gx,gy,gz,theta_tcn,theta_fuzzyakf,accel_weight,accel_norm,fuzzy_innovation,fuzzy_nis,min_covariance_eigenvalue,gyro_energy,gyro_vibration_feature,P_tcn_base,P_tcn,P_fuzzyakf_total,cross_error_total,S,NIS,innovation,K_raw,K_eff,Kmax,NIS_weight,quality_weight,correction_prev,correction,target_correction,theta_fused,theta_tcn_abs,fallback,fallback_reason_code,innovation_gate_flag,innovation_min_gate,slope_gate,nis_downweight_flag,nis_reject_flag,Kmax_cap_flag,rate_limit_flag,observer_valid,tcn_ready,regime_index,quality_score,quality_bin,p_help,v7_gate,label_main,label_turn,conf_main
1,0.288656419521486,0.000357110462621563,9.74845650849647,-0.00197145617050242,-0.0026170083974343,-0.00287907575354159,0,0.0295906470302839,0.523930097249577,9.75272920541251,2.61700839743438e-05,3.22000729054142e-07,9.99990961823243e-05,9.5122247895424e-07,0.00278658957524264,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.250679321055115,0.0295906470302839,0.88236688806096,0,1,1,0,0,0,0,0,0,1,66,0,1,0,0,0,0,0,1,0,1,0.402095522594972,1,0.793194343476534,1,1,0,1
2,0.443135705788849,-0.0445809564521833,9.69398625190629,-0.000205768133878279,0.00153041954052179,-0.00347965742034346,0,0.0316547797324044,0.133588407171144,9.70421177466626,0.0160746817755031,0.0632798862130088,9.99946529678031e-05,1.62828836790063e-06,0.00364584008728385,0.00284980193900787,0.00284980193900787,0.000178637123814681,-0.000232247604340901,0.00349293427150435,0.28687201132917,0.0316547797324044,0.88236688806096,0,1,1,0,0,0,0,0,0,1,98,0,1,0,0,0,0,0,1,0,1,0.486199335413523,1,0.46824295897886,0,1,0,1
3,0.702517168733042,0.000845114995644918,9.74185622668529,-9.69847969871556e-05,0.000329530501958372,-0.00153211573048838,0,0.0342628541541068,0.0723593726681223,9.76715382432318,0.0403305293013244,0.231308976163614,9.99847363257712e-05,1.67014270021447e-06,0.00369240002720919,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.457520988369023,0.0342628541541068,0.449681508801695,0,1,1,0,0,0,0,0,0,1,98,0,1,0,0,0,0,0,1,0,1,0.523476928951513,2,0.465284537263612,0,1,0,1
4,0.970491782641716,-0.0005302776612888,9.81390512447672,-0.000562410942108646,-0.000279724622549792,5.84716262485731e-05,0,0.0368623664726263,0.047240004871632,9.86177409869035,0.0643087459288544,0.39385556086549,9.99686424027017e-05,1.60653410837076e-06,0.00362140361599828,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.529578531918283,0.0368623664726263,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.607434868211262,2,0.465284537263612,0,1,0,1
5,1.29835522657015,0.0472553745856043,9.81617990025078,0.000662886330432849,0.000441191099019071,0.000954711431722751,0,0.0402045286770233,0.0426693923517844,9.9017850511348,0.0946363813472918,0.774579273642707,9.99459234599152e-05,1.60348449249175e-06,0.003617964804481,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.629961338231841,0.0402045286770233,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.711259402597637,2,0.465284537263612,0,1,0,1
6,1.49227758187683,0.0229235431621646,9.78584290223709,0.00234687910036798,0.00212941606599091,-0.00110414157228006,0,0.0440178257519871,0.0427387850818795,9.89899687733395,0.11110117347985,1.07054697709482,9.9916166381463e-05,2.08637941314123e-06,0.00412694423014219,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.755128949681719,0.0440178257519871,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.762423875968898,2,0.465284537263612,0,1,0,1
7,1.66745574531141,0.088453692238511,9.79462238264873,-3.62465077845309e-05,0.000743570520201609,0.000449707417041494,0,0.0480453953035689,0.0417323942715667,9.93593781869261,0.124598887261373,1.31730910650986,9.98789548428691e-05,2.01988282692325e-06,0.00406064519546526,0.00109083141996135,0.00109083141996135,0.00134905366903603,-6.29966043373888e-05,0.00256587829767216,0.899637372501423,0.0480453953035689,0.449681508801695,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.793192063408955,2,0.465284537263612,0,1,0,1
8,1.8382046093445,0.0506616888994458,9.79170825711251,0.000501509763895303,-0.00183089544264247,-0.000347191632764739,0,0.0522574603889387,0.0410255948837268,9.96288679976556,0.13754198964198,1.58048060814937,9.98338708144686e-05,2.10510029532874e-06,0.00414541821855952,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.3134676090789,0.0522574603889387,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.816797897786504,3,0.457122741536033,0,1,0,1
9,2.00650917429287,-0.0171110638675803,9.74590333223875,-0.00042463484875258,0.00266544139651015,0.00242099426100012,0,0.0568187962558966,0.0413435220248871,9.95032680952593,0.150758558581333,1.91487504235546,9.9780478001782e-05,2.65715057080233e-06,0.00465736245827766,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.55276890159885,0.0568187962558966,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.840805073754765,3,0.457122741536033,0,1,0,1
10,2.13538693756246,0.00660938940521568,9.77517275880688,0.00211790931862739,0.00104644378379702,-0.0011123650282746,0,0.0613007597425469,0.0399428055429035,10.0056945546854,0.158238728341918,2.04197341465503,9.9718364240701e-05,2.86519006379744e-06,0.00483624923295361,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,1.80740084645847,0.0613007597425469,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.84872368721306,3,0.43026351048902,0,1,0,1
11,2.16010921079513,-0.0382802965588479,9.8019462818808,-0.00272381692456258,0.00196401920624383,-0.00168120603807188,0,0.0655201864178651,0.0391821262160695,10.0372151564338,0.155583602828575,1.93896226326603,9.96471084461162e-05,3.42708075178145e-06,0.00528925036298127,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.06477634469127,0.0655201864178651,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.842328053282975,3,0.417414521557765,0,1,0,1
12,2.21848188633919,-0.00426715735597407,9.79256407813574,-0.00159180299732807,0.000487331424947009,0.00125430558271486,0,0.0696534803318529,0.0390996160853324,10.0407166732779,0.157256341964167,1.9782269373548,9.95662721472785e-05,3.47295727393603e-06,0.00532453487395543,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.33350324983953,0.0696534803318529,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.844802491202329,3,0.417414521557765,0,1,0,1
13,2.26182582100498,-0.00976536151366385,9.76943682314077,0.00187389767653828,-0.00104456524949609,-0.000783559704714693,0,0.0737156205519648,0.0394017041586992,10.0278535713376,0.157862282293409,2.00985639123357,9.94753980711453e-05,3.56013815391138e-06,0.00539095096219838,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.61361623349958,0.0737156205519648,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.846786931210595,3,0.419626571422284,0,1,0,1
14,2.26962304687174,0.066127270823675,9.77702218117121,-0.000996801492420133,7.63679083517044e-05,0.00118795396644809,0,0.0775820336780392,0.0391812823501146,10.0372169609883,0.154373984115487,1.91276639374685,9.93740510357849e-05,3.50266524117165e-06,0.00534725963856418,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,2.89497679263095,0.0775820336780392,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.840671748757456,3,0.417414521557765,0,1,0,1
15,2.28652710362714,0.0264251295821428,9.79349731082107,0.00286747919064584,0.00020888164676348,-0.0026781544935107,0,0.0812536692022989,0.038718437755234,10.0569127499524,0.151771743436205,1.82861921565711,9.92618039497829e-05,4.09946097622572e-06,0.00578489304663676,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,3.17547523864148,0.0812536692022989,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.835078614464191,3,0.450808312049314,0,1,0,1
16,2.26018558134249,0.0566005900771365,9.76114450669527,-0.000512333185596589,-0.00127661553888897,-0.00231149500026984,0,0.0847752241199464,0.039592461841993,10.0195600986018,0.146287487912459,1.73725607309284,9.91381178821747e-05,4.25625001058788e-06,0.00589448030326808,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,3.45669180795496,0.0847752241199464,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.828613649662615,3,0.419626571422284,0,1,0,1
17,2.17198550183195,0.0327468536206381,9.7567843705698,0.000270604731598882,-0.00223008882465692,-0.000214274383443505,0,0.0879713156631476,0.0401730442365978,9.99567079441822,0.134275843254805,1.48545886939596,9.90024998704924e-05,4.29805933995966e-06,0.00592336042239101,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,3.7222448825927,0.0879713156631476,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.808821853950694,3,0.43026351048902,0,1,0,1
18,2.12961278648794,0.0385033320314058,9.7158978529563,0.000518418621466165,-0.00273320855626258,-0.00218485094173705,0,0.0910313816597586,0.0414165981183672,9.94662778111413,0.127818275782465,1.38744192214106,9.88543509935449e-05,4.70879439879763e-06,0.00619993047939801,0.00108957462948209,0.00108957462948209,0.00163392086322493,0.000322193307619931,0.00207910887746715,3.98570394109413,0.0910313816597586,0.369091455564852,0,1,1,0,0,0,0,0,0,1,106,1,1,0,0,0,0,0,1,0,1,0.800061768310125,3,0.465284537263612,0,1,0,1
